Fecha;Cierre;Apertura
07-jun-2017;36.195;36.37
06-jun-2017;36.655;36.81
05-jun-2017;36.63;36.87
02-jun-2017;36.665;36.6
01-jun-2017;36.31;36.525
31-may-2017;36.395;36.31
30-may-2017;36.335;35.885
29-may-2017;35.975;36.26
26-may-2017;36.27;35.99
25-may-2017;35.975;36.28
24-may-2017;36.095;36.2
23-may-2017;36.175;36.335
22-may-2017;36.34;36.13
19-may-2017;35.935;35.885
18-may-2017;35.905;36.075
17-may-2017;36.005;36.375
16-may-2017;36.46;36.35
15-may-2017;36.285;36.43
12-may-2017;36.43;35.85
11-may-2017;35.85;36.55
10-may-2017;36.505;36.6
09-may-2017;36.535;36.23
08-may-2017;36.085;36.355
05-may-2017;36.315;36.22
04-may-2017;36.18;35.9
03-may-2017;35.71;35.28
02-may-2017;35.435;35.28
28-abr-2017;35.21;34.865
27-abr-2017;34.83;34.7
26-abr-2017;34.96;35.02
25-abr-2017;35.15;35.195
24-abr-2017;35.015;35.115
21-abr-2017;34.19;34.08
20-abr-2017;34.215;34.25
19-abr-2017;34.405;34.17
18-abr-2017;34.17;34.5
13-abr-2017;34.325;33.915
12-abr-2017;33.895;34.02
11-abr-2017;33.95;33.715
10-abr-2017;33.85;33.79
07-abr-2017;33.92;33.715
06-abr-2017;33.68;33.05
05-abr-2017;32.88;33.2
04-abr-2017;33.055;32.735
03-abr-2017;32.735;33.04
31-mar-2017;33.04;32.47
30-mar-2017;32.55;32.75
29-mar-2017;32.685;32.665
28-mar-2017;32.51;32.61
27-mar-2017;32.555;32.15
24-mar-2017;32.35;32.43
23-mar-2017;32.505;31.885
22-mar-2017;31.81;31.805
21-mar-2017;32.005;32.085
20-mar-2017;32.035;31.9
17-mar-2017;31.905;31.9
16-mar-2017;31.68;31.65
15-mar-2017;31.405;31.65
14-mar-2017;31.39;31.2
13-mar-2017;31.28;31.5
10-mar-2017;31.435;31.75
09-mar-2017;31.58;31.08
08-mar-2017;30.93;30.43
07-mar-2017;30.51;30.765
06-mar-2017;30.6;30.61
03-mar-2017;30.63;30.6
02-mar-2017;30.6;30.93
01-mar-2017;30.89;30.56
28-feb-2017;30.32;30.065
27-feb-2017;29.95;30.325
24-feb-2017;30.205;30.44
23-feb-2017;30.465;30.735
22-feb-2017;30.725;30.96
21-feb-2017;31.015;31.04
20-feb-2017;30.955;31.25
17-feb-2017;31.02;31.155
16-feb-2017;31.175;31.4
15-feb-2017;31.335;31.3
14-feb-2017;31.275;31.38
13-feb-2017;31.335;31.255
10-feb-2017;31.14;31.29
09-feb-2017;31.12;30.945
08-feb-2017;30.86;30.955
07-feb-2017;30.885;30.54
06-feb-2017;30.565;30.7
03-feb-2017;30.725;30.645
02-feb-2017;30.535;30.4
01-feb-2017;30.53;30.855
31-ene-2017;30.535;30.75
30-ene-2017;30.645;30.84
27-ene-2017;30.85;30.975
26-ene-2017;30.84;31.26
25-ene-2017;31.12;31.2
24-ene-2017;31.02;31.175
23-ene-2017;31.065;31
20-ene-2017;31;31.25
19-ene-2017;31.225;31.39
18-ene-2017;31.35;31.445
17-ene-2017;31.395;31.5
16-ene-2017;31.585;31.72
13-ene-2017;31.93;31.735
12-ene-2017;31.62;31.3
11-ene-2017;31.38;31.675
10-ene-2017;31.63;31.94
09-ene-2017;31.865;31.755
06-ene-2017;31.675;31.48
05-ene-2017;31.45;31.85
04-ene-2017;31.97;32.31
03-ene-2017;32.275;32.7
02-ene-2017;32.6;32.425
30-dic-2016;32.43;32.245
29-dic-2016;32.35;32.2
28-dic-2016;32.395;32.265
27-dic-2016;32.245;32.2
23-dic-2016;32.19;32.125
22-dic-2016;32.13;32.015
21-dic-2016;32.02;32.03
20-dic-2016;32.115;32.055
19-dic-2016;32.07;32.355
16-dic-2016;32.45;32
15-dic-2016;32.015;32.19
14-dic-2016;32;33.02
13-dic-2016;32.99;32.125
12-dic-2016;32.235;32.185
09-dic-2016;32.305;31.92
08-dic-2016;31.9;32.43
07-dic-2016;32.225;32.45
06-dic-2016;32.295;32.09
05-dic-2016;31.98;31.5
02-dic-2016;31.64;31.555
01-dic-2016;31.795;32.15
30-nov-2016;32.275;32.33
29-nov-2016;32.455;32.37
28-nov-2016;32.24;32.17
25-nov-2016;32.395;32.05
24-nov-2016;32.05;31.42
23-nov-2016;31.215;31.51
22-nov-2016;31.395;31.68
21-nov-2016;31.44;31.67
18-nov-2016;31.49;31.515
17-nov-2016;31.45;31.045
16-nov-2016;31.06;31.225
15-nov-2016;31.285;31.135
14-nov-2016;30.905;30.875
11-nov-2016;30.49;30.465
10-nov-2016;30.485;31.4
09-nov-2016;31.175;30.425
08-nov-2016;31.175;31.095
07-nov-2016;31.065;31.22
04-nov-2016;30.76;31.09
03-nov-2016;31.12;31.3
02-nov-2016;31.29;31.485
01-nov-2016;31.61;32.15
31-oct-2016;31.845;32.07
28-oct-2016;32.335;32.5
27-oct-2016;32.65;32.765
26-oct-2016;32.735;32.57
25-oct-2016;32.57;32.865
24-oct-2016;32.93;33.31
21-oct-2016;33.225;32.91
20-oct-2016;32.925;32.745
19-oct-2016;32.6;32.385
18-oct-2016;32.22;32.25
17-oct-2016;32.04;32.175
14-oct-2016;32.4;32.06
13-oct-2016;31.975;32
12-oct-2016;32.16;32.44
11-oct-2016;32.345;32.65
10-oct-2016;32.655;32.18
07-oct-2016;32.055;32.72
06-oct-2016;32.73;33
05-oct-2016;32.855;32.6
04-oct-2016;32.915;32.83
03-oct-2016;32.765;32.88
30-sep-2016;33;32.89
29-sep-2016;33.125;33.305
28-sep-2016;33.055;33.16
27-sep-2016;32.98;33.045
26-sep-2016;32.815;32.815
23-sep-2016;32.96;33.295
22-sep-2016;33.37;32.6
21-sep-2016;32.165;33.155
20-sep-2016;32.68;32.32
19-sep-2016;32.39;32
16-sep-2016;31.745;31.95
15-sep-2016;31.925;31.76
14-sep-2016;31.825;31.94
13-sep-2016;31.62;32.1
12-sep-2016;31.995;31.895
09-sep-2016;32.255;32.645
08-sep-2016;32.885;33.15
07-sep-2016;33.105;32.5
06-sep-2016;32.295;32.5
05-sep-2016;32.395;32.45
02-sep-2016;32.37;31.85
01-sep-2016;31.81;31.9
31-ago-2016;31.765;31.83
30-ago-2016;31.875;31.765
29-ago-2016;31.7;31.65
26-ago-2016;31.83;31.78
25-ago-2016;31.71;31.915
24-ago-2016;32.07;31.68
23-ago-2016;31.955;31.5
22-ago-2016;31.145;31.285
19-ago-2016;31.365;31.505
18-ago-2016;31.42;31.04
17-ago-2016;30.93;31.365
16-ago-2016;31.195;31.935
15-ago-2016;31.95;31.89
12-ago-2016;31.93;31.98
11-ago-2016;32;32
10-ago-2016;31.815;31.865
09-ago-2016;32.115;31.45
08-ago-2016;31.625;32.06
05-ago-2016;32.06;31.145
04-ago-2016;30.845;30.65
03-ago-2016;30.57;30.645
02-ago-2016;30.61;31.17
01-ago-2016;31.15;31.125
29-jul-2016;30.94;30.685
28-jul-2016;30.645;30.87
27-jul-2016;30.875;30.905
26-jul-2016;30.9;31
25-jul-2016;30.98;30.94
22-jul-2016;30.925;30.665
21-jul-2016;30.755;30.965
20-jul-2016;30.98;30.98
19-jul-2016;30.72;30.74
18-jul-2016;30.75;30.81
15-jul-2016;30.725;30.875
14-jul-2016;30.87;31.12
13-jul-2016;30.93;30.77
12-jul-2016;30.93;30.46
11-jul-2016;30.4;30.015
08-jul-2016;29.795;29.395
07-jul-2016;29.5;29.71
06-jul-2016;29.515;29.715
05-jul-2016;29.81;29.88
04-jul-2016;30.005;30.195
01-jul-2016;29.985;30.13
30-jun-2016;29.91;29.75
29-jun-2016;29.81;29.2
28-jun-2016;28.92;29.075
27-jun-2016;28.415;28.825
24-jun-2016;28.9;27.585
23-jun-2016;31.01;30.735
22-jun-2016;30.445;30.45
21-jun-2016;30.37;30.075
20-jun-2016;30.13;29.89
17-jun-2016;29.265;29.77
16-jun-2016;29.7;29.55
15-jun-2016;29.52;28.63
14-jun-2016;27.98;28.245
13-jun-2016;28.485;28.525
10-jun-2016;28.91;29.5
09-jun-2016;29.555;29.6
08-jun-2016;29.675;29.6
07-jun-2016;29.745;29.81
06-jun-2016;29.77;29.875
03-jun-2016;29.9;30.305
02-jun-2016;30.18;30.16
01-jun-2016;30.21;30.36
31-may-2016;30.36;30.34
30-may-2016;30.235;30.065
27-may-2016;30.1;29.395
26-may-2016;29.57;29.235
25-may-2016;29.32;29.705
24-may-2016;29.505;28.67
23-may-2016;28.69;28.82
20-may-2016;28.8;28.37
19-may-2016;28.2;28.185
18-may-2016;28.37;27.75
17-may-2016;27.89;28.3
16-may-2016;28.075;27.9
13-may-2016;28.125;27.6
12-may-2016;27.815;27.935
11-may-2016;27.995;28.47
10-may-2016;28.54;28.43
09-may-2016;28.17;27.705
06-may-2016;27.53;27.595
05-may-2016;27.72;27.53
04-may-2016;27.47;27.78
03-may-2016;27.785;28.365
02-may-2016;28.49;28.235
29-abr-2016;28.035;28.38
28-abr-2016;28.645;28.795
27-abr-2016;29.165;29.095
26-abr-2016;28.975;29.395
25-abr-2016;29.22;29.37
22-abr-2016;29.5;29.46
21-abr-2016;29.45;29.815
20-abr-2016;29.795;29.47
19-abr-2016;29.525;29.06
18-abr-2016;28.9;28.495
15-abr-2016;28.77;28.91
14-abr-2016;28.905;29.045
13-abr-2016;28.98;28.8
12-abr-2016;28.735;28.505
11-abr-2016;28.53;28.51
08-abr-2016;28.57;28.545
07-abr-2016;28.415;28.58
06-abr-2016;28.63;28.51
05-abr-2016;28.45;29.025
04-abr-2016;29.295;29.055
01-abr-2016;29.105;29.3
31-mar-2016;29.565;29.86
30-mar-2016;30.11;30.025
29-mar-2016;29.78;29.78
24-mar-2016;29.545;29.855
23-mar-2016;30.145;30.06
22-mar-2016;30.045;29.76
21-mar-2016;29.875;29.755
18-mar-2016;29.75;29.725
17-mar-2016;29.79;30.16
16-mar-2016;29.905;29.77
15-mar-2016;29.675;29.765
14-mar-2016;29.855;29.825
11-mar-2016;29.61;30.23
10-mar-2016;29.68;30.19
09-mar-2016;29.92;29.7
08-mar-2016;29.41;29.515
07-mar-2016;29.695;29.45
04-mar-2016;29.7;29.38
03-mar-2016;29.33;29.615
02-mar-2016;29.66;29.965
01-mar-2016;29.785;28.8
29-feb-2016;28.62;28.4
26-feb-2016;28.505;28.375
25-feb-2016;27.96;27.65
24-feb-2016;27.195;28.005
23-feb-2016;28.005;28.5
22-feb-2016;28.585;28.47
19-feb-2016;28.255;28.24
18-feb-2016;28.21;28.25
17-feb-2016;28.015;27.345
16-feb-2016;27.22;27.745
15-feb-2016;27.555;27.7
12-feb-2016;27.11;26.92
11-feb-2016;26.755;27.8
10-feb-2016;28.085;27.69
09-feb-2016;27.375;27.515
08-feb-2016;27.555;28.395
05-feb-2016;28.4;28.97
04-feb-2016;28.93;29.465
03-feb-2016;29.19;29.67
02-feb-2016;29.84;30.4
01-feb-2016;30.465;30.34
29-ene-2016;30.185;29.88
28-ene-2016;29.56;29.775
27-ene-2016;30;29.345
26-ene-2016;29.425;28.85
25-ene-2016;29.29;29.655
22-ene-2016;29.555;29.42
21-ene-2016;28.83;28.4
20-ene-2016;28.205;28.25
19-ene-2016;29.035;28.895
18-ene-2016;28.44;28.465
15-ene-2016;28.54;29.205
14-ene-2016;29.24;29.685
13-ene-2016;30.005;30.515
12-ene-2016;30.105;29.415
11-ene-2016;29.435;29.415
08-ene-2016;29.645;30.22
07-ene-2016;30.07;29.5
06-ene-2016;30.175;30.5
05-ene-2016;30.37;30.75
04-ene-2016;30.58;31.365
31-dic-2015;31.69;32.105
30-dic-2015;32.01;32.195
29-dic-2015;32.255;31.79
28-dic-2015;31.49;31.9
24-dic-2015;31.79;31.945
23-dic-2015;31.9;32
22-dic-2015;31.64;31.845
21-dic-2015;31.45;32
18-dic-2015;32.215;32.845
17-dic-2015;33.075;33.06
16-dic-2015;32.29;32.635
15-dic-2015;32.4;31.655
14-dic-2015;31.42;32.105
11-dic-2015;32.035;32.435
10-dic-2015;32.105;32.545
09-dic-2015;32.545;33.12
08-dic-2015;32.915;33.71
07-dic-2015;33.875;33.55
04-dic-2015;33.25;33.2
03-dic-2015;33.385;34.865
02-dic-2015;34.585;34.185
01-dic-2015;33.965;34.105
30-nov-2015;34.06;33.42
27-nov-2015;33.465;33.115
26-nov-2015;33.28;33.09
25-nov-2015;33.175;32.4
24-nov-2015;32.3;33.065
23-nov-2015;33.115;33
20-nov-2015;33.125;32.895
19-nov-2015;32.72;33.005
18-nov-2015;32.655;33.2
17-nov-2015;33.345;33.005
16-nov-2015;32.705;32.17
13-nov-2015;32.54;32.79
12-nov-2015;32.945;33.425
11-nov-2015;33.415;33.2
10-nov-2015;33.17;33.04
09-nov-2015;32.935;32.93
06-nov-2015;32.935;34.235
05-nov-2015;34.35;33.7
04-nov-2015;33.71;33.905
03-nov-2015;33.81;33.835
02-nov-2015;34.095;33.78
30-oct-2015;34.105;34.5
29-oct-2015;34.285;34.165
28-oct-2015;33.9;33.735
27-oct-2015;33.51;33.645
26-oct-2015;33.61;33.73
23-oct-2015;33.755;32.97
22-oct-2015;32.75;31.63
21-oct-2015;31.755;31.49
20-oct-2015;31.44;31.46
19-oct-2015;31.385;31.06
16-oct-2015;31.02;31.03
15-oct-2015;30.82;30.765
14-oct-2015;30.48;30.77
13-oct-2015;30.9;31.29
12-oct-2015;31.2;31.115
09-oct-2015;31.125;31.51
08-oct-2015;31.17;31.27
07-oct-2015;31.315;32
06-oct-2015;31.775;31.48
05-oct-2015;31.395;30.775
02-oct-2015;30.195;30.41
01-oct-2015;30.155;30.215
30-sep-2015;29.93;29.6
29-sep-2015;28.935;28.82
28-sep-2015;29.19;29.395
25-sep-2015;29.5;28.84
24-sep-2015;28.4;29.395
23-sep-2015;29.3;29.29
22-sep-2015;29.375;30.335
21-sep-2015;30.275;29.89
18-sep-2015;29.885;30.51
17-sep-2015;30.74;30.47
16-sep-2015;30.29;29.52
15-sep-2015;28.6;28.5
14-sep-2015;28.425;28.59
11-sep-2015;28.51;29.02
10-sep-2015;28.84;28.855
09-sep-2015;29.125;29.43
08-sep-2015;28.755;28.72
07-sep-2015;28.515;28.71
04-sep-2015;28.58;29.155
03-sep-2015;29.475;29.175
02-sep-2015;28.945;29.07
01-sep-2015;28.985;29.28
31-ago-2015;29.74;29.545
28-ago-2015;29.87;29.85
27-ago-2015;29.755;29.395
26-ago-2015;28.705;28.9
25-ago-2015;29.25;28.15
24-ago-2015;27.81;28
21-ago-2015;29.01;29.5
20-ago-2015;30.025;30.635
19-ago-2015;30.83;30.88
18-ago-2015;31.165;31
17-ago-2015;31.085;31.065
14-ago-2015;30.735;30.875
13-ago-2015;30.82;30.815
12-ago-2015;30.265;31.225
11-ago-2015;31.595;32.26
10-ago-2015;32.45;32.165
07-ago-2015;31.885;32.23
06-ago-2015;32.275;32.15
05-ago-2015;32.15;32.04
04-ago-2015;31.87;31.8
03-ago-2015;31.875;31.17
31-jul-2015;31.175;30.785
30-jul-2015;30.8;30.9
29-jul-2015;30.76;30.62
28-jul-2015;30.385;30.28
27-jul-2015;30.22;30.47
24-jul-2015;30.7;30.96
23-jul-2015;30.92;31.255
22-jul-2015;30.95;30.82
21-jul-2015;30.96;31.14
20-jul-2015;31.14;31.17
17-jul-2015;31.09;31.3
16-jul-2015;31.09;30.67
15-jul-2015;30.48;30.49
14-jul-2015;30.465;30.02
13-jul-2015;30.095;30.07
10-jul-2015;29.675;29.405
09-jul-2015;28.6;28.085
08-jul-2015;27.975;27.77
07-jul-2015;27.85;28.325
06-jul-2015;28.335;28.29
03-jul-2015;28.835;29.015
02-jul-2015;28.96;29.445
01-jul-2015;29.36;29.495
30-jun-2015;29.155;29.215
29-jun-2015;29.425;28.56
26-jun-2015;30.715;30.165
25-jun-2015;30.385;30.5
24-jun-2015;30.69;31.04
23-jun-2015;30.955;30.955
22-jun-2015;30.62;30.285
19-jun-2015;29.465;29.27
18-jun-2015;29.125;28.9
17-jun-2015;28.935;29.185
16-jun-2015;29.095;28.9
15-jun-2015;29.06;29.14
12-jun-2015;29.405;30.21
11-jun-2015;30.23;29.88
10-jun-2015;29.855;30
09-jun-2015;29.995;29.65
08-jun-2015;29.64;29.995
05-jun-2015;30.005;30.145
04-jun-2015;30.355;30.405
03-jun-2015;30.575;30.845
02-jun-2015;30.66;31
01-jun-2015;30.805;30.44
29-may-2015;30.16;30.655
28-may-2015;30.735;30.77
27-may-2015;30.9;30.18
26-may-2015;30.07;29.905
25-may-2015;30.05;30.23
22-may-2015;30.475;30.415
21-may-2015;30.475;30.11
20-may-2015;30.22;29.835
19-may-2015;29.7;29.185
18-may-2015;29;28.68
15-may-2015;28.655;29.11
14-may-2015;28.945;28.56
13-may-2015;28.595;28.96
12-may-2015;28.795;28.74
11-may-2015;28.92;29.035
08-may-2015;29.045;28.4
07-may-2015;28.03;27.7
06-may-2015;27.855;27.56
05-may-2015;27.71;28.69
04-may-2015;28.605;28.665
30-abr-2015;28.675;28.625
29-abr-2015;28.71;29.595
28-abr-2015;29.515;29.91
27-abr-2015;29.925;29.295
24-abr-2015;29.28;29.12
23-abr-2015;29.075;29.1
22-abr-2015;29.155;29.55
21-abr-2015;29.49;29.385
20-abr-2015;29.35;29.645
17-abr-2015;29.425;30.255
16-abr-2015;30.34;30.85
15-abr-2015;30.91;30.85
14-abr-2015;30.61;30.835
13-abr-2015;30.975;30.915
10-abr-2015;30.88;30.81
09-abr-2015;30.685;30.575
08-abr-2015;30.35;30.55
07-abr-2015;30.535;30.565
02-abr-2015;30.19;29.84
01-abr-2015;29.705;29.865
31-mar-2015;29.88;29.74
30-mar-2015;29.82;29.715
27-mar-2015;29.645;29.7
26-mar-2015;29.615;29.475
25-mar-2015;29.705;30.26
24-mar-2015;30.245;30
23-mar-2015;30.04;30.245
20-mar-2015;30.21;29.79
19-mar-2015;29.595;29.1
18-mar-2015;29.15;28.745
17-mar-2015;28.17;28.84
16-mar-2015;28.81;28.425
13-mar-2015;28.16;27.825
12-mar-2015;27.625;27.81
11-mar-2015;27.65;27.47
10-mar-2015;27.36;27.785
09-mar-2015;27.785;27.86
06-mar-2015;28.06;27.95
05-mar-2015;27.875;27.89
04-mar-2015;27.77;28.1
03-mar-2015;28.175;28.4
02-mar-2015;28.395;28.005
27-feb-2015;28.085;27.885
26-feb-2015;28.04;27.8
25-feb-2015;27.915;27.88
24-feb-2015;28.145;27.935
23-feb-2015;27.79;27.685
20-feb-2015;27.3;27.495
19-feb-2015;27.58;26.8
18-feb-2015;26.89;26.52
17-feb-2015;26.41;26.13
16-feb-2015;26.385;26.605
13-feb-2015;26.625;26.505
12-feb-2015;26.32;25.8
11-feb-2015;25.85;26.49
10-feb-2015;26.41;25.705
09-feb-2015;25.635;26.05
06-feb-2015;26.22;26.355
05-feb-2015;26.395;26.115
04-feb-2015;26.47;26.54
03-feb-2015;26.605;26.32
02-feb-2015;26.12;26.245
30-ene-2015;26.135;26.375
29-ene-2015;26.285;26.13
28-ene-2015;26.46;26.9
27-ene-2015;26.615;26.9
26-ene-2015;27.04;26.635
23-ene-2015;26.6;26.25
22-ene-2015;26.11;26
21-ene-2015;25.965;25.515
20-ene-2015;25.415;24.815
19-ene-2015;24.75;24.665
16-ene-2015;24.525;24.3
15-ene-2015;24.43;24.875
14-ene-2015;24.57;24.08
13-ene-2015;24.33;23.59
12-ene-2015;23.62;23.65
09-ene-2015;23.47;23.9
08-ene-2015;23.915;23.315
07-ene-2015;22.96;22.825
06-ene-2015;22.695;23.08
05-ene-2015;22.98;23.49
02-ene-2015;23.785;24
31-dic-2014;23.705;23.845
30-dic-2014;23.725;23.84
29-dic-2014;23.85;23.82
24-dic-2014;23.905;23.905
23-dic-2014;23.905;23.825
22-dic-2014;23.75;23.655
19-dic-2014;23.64;23.875
18-dic-2014;23.55;22.62
17-dic-2014;22.285;22.235
16-dic-2014;22.44;22.165
15-dic-2014;22.08;22.54
12-dic-2014;22.59;23.22
11-dic-2014;23.295;22.95
10-dic-2014;22.35;22.855
09-dic-2014;22.63;23.16
08-dic-2014;23.38;23.49
05-dic-2014;23.58;23.39
04-dic-2014;23.05;23.69
03-dic-2014;23.575;23.445
02-dic-2014;23.39;23.55
01-dic-2014;23.385;23.19
28-nov-2014;23.415;23.225
27-nov-2014;23.265;23.19
26-nov-2014;23.125;23.305
25-nov-2014;23.245;23.345
24-nov-2014;23.345;23.165
21-nov-2014;23.135;22.52
20-nov-2014;22.48;22.68
19-nov-2014;22.8;23.035
18-nov-2014;23.04;22.465
17-nov-2014;22.49;21.815
14-nov-2014;22.045;22.28
13-nov-2014;22.225;22.195
12-nov-2014;22.085;22.275
11-nov-2014;22.335;22.285
10-nov-2014;22.13;21.605
07-nov-2014;21.64;21.96
06-nov-2014;21.87;21.815
05-nov-2014;21.835;21.53
04-nov-2014;21.405;21.9
03-nov-2014;21.9;22.245
31-oct-2014;22.415;22.15
30-oct-2014;21.805;21.845
29-oct-2014;21.76;21.85
28-oct-2014;21.76;21.345
27-oct-2014;21.145;21.625
24-oct-2014;21.315;21.27
23-oct-2014;21.28;21.035
22-oct-2014;21.125;21.085
21-oct-2014;21.035;20.525
20-oct-2014;20.54;20.565
17-oct-2014;20.67;19.93
16-oct-2014;19.89;20.265
15-oct-2014;20.065;20.62
14-oct-2014;20.66;20.5
13-oct-2014;20.65;20.575
10-oct-2014;20.76;20.845
09-oct-2014;20.92;21.155
08-oct-2014;21.015;21.29
07-oct-2014;21.345;21.75
06-oct-2014;21.775;21.63
03-oct-2014;21.4;21.2
02-oct-2014;20.945;21.625
01-oct-2014;21.59;21.82
30-sep-2014;21.875;21.49
29-sep-2014;21.53;21.775
26-sep-2014;21.87;21.88
25-sep-2014;21.895;22.26
24-sep-2014;22.24;22.1
23-sep-2014;22.025;22.525
22-sep-2014;22.54;22.5
19-sep-2014;22.59;22.95
18-sep-2014;22.7;22.765
17-sep-2014;22.82;23.6
16-sep-2014;23.31;23.445
15-sep-2014;23.505;23.175
12-sep-2014;23.18;22.85
11-sep-2014;23.025;23.3
10-sep-2014;23.06;22.855
09-sep-2014;22.855;22.855
08-sep-2014;22.965;23.255
05-sep-2014;23.18;22.86
04-sep-2014;22.8;22.285
03-sep-2014;22.485;22.49
02-sep-2014;22.325;22.25
01-sep-2014;22.2;22.06
29-ago-2014;22.05;22.18
28-ago-2014;22.11;22.195
27-ago-2014;22.315;22.345
26-ago-2014;22.39;21.945
25-ago-2014;21.975;22
22-ago-2014;21.72;22.16
21-ago-2014;22.125;21.86
20-ago-2014;21.86;21.815
19-ago-2014;21.805;21.765
18-ago-2014;21.7;21.645
15-ago-2014;21.41;21.575
14-ago-2014;21.49;21.35
13-ago-2014;21.47;21.67
12-ago-2014;21.495;21.23
11-ago-2014;21.2;21.13
08-ago-2014;20.89;20.735
07-ago-2014;20.9;21.07
06-ago-2014;21.125;21.125
05-ago-2014;21.225;21.38
04-ago-2014;21.25;21.485
01-ago-2014;21.385;21.915
31-jul-2014;22.21;22.505
30-jul-2014;22.34;22.28
29-jul-2014;22.285;22.515
28-jul-2014;22.485;22.77
25-jul-2014;22.29;22.19
24-jul-2014;22.22;22.03
23-jul-2014;22;21.83
